Date,Time,Download,Upload,Host,Provider
06/19/20,20:33:29,12.9,8.72,Burstfire Networks Ltd,TalkTalk
06/19/20,20:33:53,14.49,8.82,Vox Telecom (London),TalkTalk
06/19/20,20:34:17,10.57,8.94,Burstfire Networks Ltd,TalkTalk
06/19/20,21:11:25,3.18,4.4,Mauritius Telecom Ltd,TalkTalk
06/19/20,21:11:51,4.99,4.59,Vox Telecom (London),TalkTalk
06/19/20,21:12:15,4.14,3.91,Burstfire Networks Ltd,TalkTalk
06/19/20,21:12:29,4.14,7.53,Burstfire Networks Ltd,TalkTalk
06/19/20,21:12:54,6.12,8.29,Structured Communications (London),TalkTalk
06/19/20,21:13:20,1.05,2.29,Vox Telecom (London),TalkTalk
06/19/20,21:13:33,1.05,5.21,Vox Telecom (London),TalkTalk
06/19/20,21:14:24,3.38,4.84,Vox Telecom (London),TalkTalk
06/19/20,21:15:00,1.26,8.64,Structured Communications (London),TalkTalk
06/19/20,21:15:25,6.23,3.06,Mauritius Telecom Ltd,TalkTalk
06/19/20,21:15:52,2.65,4.18,Burstfire Networks Ltd,TalkTalk
06/19/20,21:16:00,2.65,7.17,Burstfire Networks Ltd,TalkTalk
06/19/20,21:16:28,6.71,8.05,Structured Communications (London),TalkTalk
06/19/20,21:17:01,5.43,7.78,Vodafone UK (London),TalkTalk
06/19/20,21:17:32,7.75,6.42,Structured Communications (London),TalkTalk
06/19/20,21:18:24,7.01,9.53,Vox Telecom (London),TalkTalk
06/19/20,21:18:48,2.97,7.92,Structured Communications (London),TalkTalk
06/19/20,21:20:00,2.66,1.38,Mauritius Telecom Ltd,TalkTalk
06/19/20,21:20:26,4.03,2.92,Mauritius Telecom Ltd,TalkTalk
06/19/20,21:21:00,9.05,8.83,Mauritius Telecom Ltd,TalkTalk
06/19/20,21:21:40,6.01,9.36,Mauritius Telecom Ltd,TalkTalk
06/19/20,21:22:03,7.06,9.3,Vodafone UK (London),TalkTalk
06/19/20,21:29:12,0.72,7.96,Burstfire Networks Ltd,TalkTalk
06/19/20,21:29:42,4.56,7.61,Vox Telecom (London),TalkTalk
06/19/20,21:30:57,4.26,9.01,Vox Telecom (London),TalkTalk
06/19/20,21:31:21,3.97,7.84,Mauritius Telecom Ltd,TalkTalk
06/19/20,21:31:45,8.85,8.74,Structured Communications (London),TalkTalk
06/19/20,21:36:09,9.86,9.2,Structured Communications (London),TalkTalk
06/19/20,21:36:33,7.46,7.97,Mauritius Telecom Ltd,TalkTalk
06/19/20,21:37:00,7.58,8.18,Vox Telecom (London),TalkTalk
06/19/20,21:39:37,6.86,7.25,Vox Telecom (London),TalkTalk
06/19/20,21:40:00,8.84,7.83,Burstfire Networks Ltd,TalkTalk
06/19/20,21:41:03,8.27,8.31,Structured Communications (London),TalkTalk
06/19/20,21:41:26,5.51,8.79,Mauritius Telecom Ltd,TalkTalk
06/19/20,21:41:50,11.47,8.45,Structured Communications (London),TalkTalk
06/19/20,22:00:01,17.34,8.61,Structured Communications (London),TalkTalk
06/19/20,22:00:30,18.09,9.58,Vox Telecom (London),TalkTalk
06/19/20,22:00:56,14.36,8.97,Mauritius Telecom Ltd,TalkTalk
06/19/20,23:00:00,14.8,9.03,Structured Communications (London),TalkTalk
06/19/20,23:00:23,19,9.46,Burstfire Networks Ltd,TalkTalk
06/19/20,23:00:47,19.12,9.53,Burstfire Networks Ltd,TalkTalk
06/20/20,00:00:00,9.12,8.57,Structured Communications (London),TalkTalk
06/20/20,00:00:25,9.85,9.16,Structured Communications (London),TalkTalk
06/20/20,00:00:49,10.32,7.92,Vox Telecom (London),TalkTalk
06/20/20,01:00:00,15.4,7.07,Mauritius Telecom Ltd,TalkTalk
06/20/20,01:00:28,8.78,7.72,Mauritius Telecom Ltd,TalkTalk
06/20/20,01:00:55,13.68,9.43,Vox Telecom (London),TalkTalk
06/20/20,02:00:00,15.7,9.25,Burstfire Networks Ltd,TalkTalk
06/20/20,02:00:24,22.21,8.84,Burstfire Networks Ltd,TalkTalk
06/20/20,02:00:48,13.41,9.45,Mauritius Telecom Ltd,TalkTalk
06/20/20,03:00:01,19.48,9.66,Vodafone UK (London),TalkTalk
06/20/20,03:00:25,20.76,9.2,Mauritius Telecom Ltd,TalkTalk
06/20/20,08:00:00,22.07,9.5,Vodafone UK (London),TalkTalk
06/20/20,08:00:24,15.8,9.18,Structured Communications (London),TalkTalk
06/20/20,08:00:48,24.64,8.93,Vox Telecom (London),TalkTalk
06/20/20,09:00:00,9.01,8.69,Burstfire Networks Ltd,TalkTalk
06/20/20,09:00:25,16.59,9.43,Vox Telecom (London),TalkTalk
06/20/20,09:00:49,18.01,9.13,Structured Communications (London),TalkTalk
06/20/20,10:00:00,25.75,8.05,Vodafone UK (London),TalkTalk
06/20/20,10:00:26,26.01,8.66,Mauritius Telecom Ltd,TalkTalk
06/20/20,10:00:50,25.83,9.67,Vox Telecom (London),TalkTalk
06/20/20,11:00:00,24.55,7.97,Mauritius Telecom Ltd,TalkTalk
06/20/20,11:00:33,14.83,8.46,Structured Communications (London),TalkTalk
06/20/20,11:00:57,12.56,9.16,Mauritius Telecom Ltd,TalkTalk
06/20/20,12:00:00,3.09,6.45,GTT.net (London) [1.77,TalkTalk
06/20/20,12:00:32,2.44,9.33,Burstfire Networks Ltd,TalkTalk
06/20/20,12:00:58,1.16,7.79,GTT.net (London) [1.77,TalkTalk
06/20/20,13:00:00,20.85,5.95,GTT.net (London) [1.77,TalkTalk
06/20/20,13:00:23,20.98,9.53,GTT.net (London) [1.77,TalkTalk
06/20/20,13:00:47,20.56,9.26,GTT.net (London) [1.77,TalkTalk
06/20/20,14:00:00,9.48,8.97,Mauritius Telecom Ltd,TalkTalk
06/20/20,14:00:30,24.7,9.56,Mauritius Telecom Ltd,TalkTalk
06/20/20,14:00:53,27.99,10.06,Mauritius Telecom Ltd,TalkTalk
06/20/20,15:00:00,19,9.53,Mauritius Telecom Ltd,TalkTalk
06/20/20,15:00:24,11.07,8.69,GTT.net (London) [1.77,TalkTalk
06/20/20,15:00:50,21.87,8.76,Mauritius Telecom Ltd,TalkTalk
06/20/20,16:00:00,19,9.55,Vodafone UK (London),TalkTalk
06/20/20,16:00:24,13.63,9.07,Mauritius Telecom Ltd,TalkTalk
06/20/20,16:00:48,17.85,9.2,Burstfire Networks Ltd,TalkTalk
06/20/20,17:00:00,26.48,9.35,Mauritius Telecom Ltd,TalkTalk
06/20/20,17:00:24,23.81,9.23,GTT.net (London) [1.77,TalkTalk
06/20/20,17:00:48,23.95,8.91,Mauritius Telecom Ltd,TalkTalk
06/20/20,18:00:01,15.2,8.37,GTT.net (London) [1.77,TalkTalk
06/20/20,18:00:24,22.55,8.89,Burstfire Networks Ltd,TalkTalk
06/20/20,18:00:47,24.96,8.61,GTT.net (London) [1.77,TalkTalk
06/20/20,19:00:00,17.13,5.42,Mauritius Telecom Ltd,TalkTalk
06/20/20,19:00:25,11.88,8.58,Mauritius Telecom Ltd,TalkTalk
06/20/20,19:00:49,14.41,8.07,GTT.net (London) [1.77,TalkTalk
06/20/20,20:00:00,22.6,9.01,Mauritius Telecom Ltd,TalkTalk
06/20/20,20:00:26,17.26,9.32,Structured Communications (London),TalkTalk
06/20/20,20:00:49,17.7,9.33,Mauritius Telecom Ltd,TalkTalk
06/20/20,21:00:00,11.42,8.96,Mauritius Telecom Ltd,TalkTalk
06/20/20,21:00:25,10.83,8.06,Structured Communications (London),TalkTalk
06/20/20,21:00:50,19.17,9.12,Structured Communications (London),TalkTalk
06/20/20,22:00:00,6.18,9.14,Mauritius Telecom Ltd,TalkTalk
06/20/20,22:00:29,4.97,9.17,Mauritius Telecom Ltd,TalkTalk
06/20/20,22:00:56,3.23,8.7,Structured Communications (London),TalkTalk
06/20/20,22:06:11,12.08,9.38,GTT.net (London) [1.77,TalkTalk
06/20/20,22:06:35,13.03,8.73,Structured Communications (London),TalkTalk
06/20/20,22:06:58,15.42,9.41,Structured Communications (London),TalkTalk
06/20/20,22:21:45,10.42,2.35,Vodafone UK (London),TalkTalk
06/20/20,22:22:15,0,0,none,none
06/20/20,22:22:16,0,0,none,none
06/20/20,22:22:50,3.85,2.25,Burstfire Networks Ltd,TalkTalk
06/20/20,22:23:30,10.47,2.31,Burstfire Networks Ltd,TalkTalk
06/20/20,22:24:01,8.19,2.39,Mauritius Telecom Ltd,TalkTalk
06/20/20,22:24:43,11.52,9.38,Mauritius Telecom Ltd,TalkTalk
06/20/20,22:25:06,11.9,7.8,Structured Communications (London),TalkTalk
06/20/20,22:25:31,11.57,8.37,Mauritius Telecom Ltd,TalkTalk
06/20/20,22:52:49,11.76,9.34,GTT.net (London) [1.77,TalkTalk
06/20/20,22:53:12,14.3,8.9,Mauritius Telecom Ltd,TalkTalk
06/20/20,22:53:36,18.82,8.93,GTT.net (London) [1.77,TalkTalk
06/20/20,23:00:00,2.68,8.64,Vodafone UK (London),TalkTalk
06/20/20,23:00:25,16.37,8.21,Mauritius Telecom Ltd,TalkTalk
06/20/20,23:00:49,14.03,8.39,Structured Communications (London),TalkTalk
06/21/20,01:00:00,17.62,8.12,Burstfire Networks Ltd,TalkTalk
06/21/20,01:00:26,25.04,9.53,Mauritius Telecom Ltd,TalkTalk
06/21/20,01:00:49,14.01,8.65,Structured Communications (London),TalkTalk
06/21/20,01:38:27,0,0,none,none
06/21/20,01:38:28,0,0,none,none
06/21/20,01:38:29,22.51,9.12,Vodafone UK (London),TalkTalk
06/21/20,02:00:00,20.5,6.76,GTT.net (London) [1.77,TalkTalk
06/21/20,02:00:25,13.98,8.55,GTT.net (London) [1.77,TalkTalk
