Date,Time,Download,Upload,Host,Provider
06/19/20,20:33:29,12.9,8.72,Burstfire Networks Ltd,TalkTalk
06/19/20,21:11:25,3.18,4.4,Mauritius Telecom Ltd,TalkTalk
06/19/20,22:00:01,17.34,8.61,Structured Communications (London),TalkTalk
06/19/20,23:00:00,14.8,9.03,Structured Communications (London),TalkTalk
06/20/20,00:00:00,9.12,8.57,Structured Communications (London),TalkTalk
06/20/20,01:00:00,15.4,7.07,Mauritius Telecom Ltd,TalkTalk
06/20/20,02:00:00,15.7,9.25,Burstfire Networks Ltd,TalkTalk
06/20/20,03:00:01,19.48,9.66,Vodafone UK (London),TalkTalk
06/20/20,08:00:00,22.07,9.5,Vodafone UK (London),TalkTalk
06/20/20,09:00:00,9.01,8.69,Burstfire Networks Ltd,TalkTalk
06/20/20,10:00:00,25.75,8.05,Vodafone UK (London),TalkTalk
06/20/20,11:00:00,24.55,7.97,Mauritius Telecom Ltd,TalkTalk
06/20/20,12:00:00,3.09,6.45,GTT.net (London) [1.77,TalkTalk
06/20/20,13:00:00,20.85,5.95,GTT.net (London) [1.77,TalkTalk
06/20/20,14:00:00,9.48,8.97,Mauritius Telecom Ltd,TalkTalk
06/20/20,15:00:00,19,9.53,Mauritius Telecom Ltd,TalkTalk
06/20/20,16:00:00,19,9.55,Vodafone UK (London),TalkTalk
06/20/20,17:00:00,26.48,9.35,Mauritius Telecom Ltd,TalkTalk
06/20/20,18:00:01,15.2,8.37,GTT.net (London) [1.77,TalkTalk
06/20/20,19:00:00,17.13,5.42,Mauritius Telecom Ltd,TalkTalk
06/20/20,20:00:00,22.6,9.01,Mauritius Telecom Ltd,TalkTalk
06/20/20,21:00:00,11.42,8.96,Mauritius Telecom Ltd,TalkTalk
06/20/20,22:00:00,6.18,9.14,Mauritius Telecom Ltd,TalkTalk
06/20/20,23:00:00,2.68,8.64,Vodafone UK (London),TalkTalk
06/21/20,01:00:00,17.62,8.12,Burstfire Networks Ltd,TalkTalk
06/21/20,02:00:00,20.5,6.76,GTT.net (London) [1.77,TalkTalk
06/21/20,03:00:00,16.91,8.08,Structured Communications (London),TalkTalk
06/21/20,04:00:00,23.14,8.44,Burstfire Networks Ltd,TalkTalk
06/21/20,05:00:00,21.56,8.37,Burstfire Networks Ltd,TalkTalk
06/21/20,09:04:00,6,4.79,Burstfire Networks Ltd,TalkTalk
06/21/20,10:00:00,5.17,9.12,Vodafone UK (London),TalkTalk
06/21/20,11:00:00,8.57,7.14,GTT.net (London) [1.77,TalkTalk
06/21/20,13:00:00,10.38,9.51,Vodafone UK (London),TalkTalk
06/21/20,17:00:00,1.36,7.46,Vodafone UK (London),TalkTalk
06/21/20,19:00:00,4.07,5.97,Structured Communications (London),TalkTalk
06/21/20,20:00:00,0.98,5.4,GTT.net (London) [1.77,TalkTalk
06/22/20,00:00:00,25.13,0.01,Mauritius Telecom Ltd,TalkTalk
06/22/20,09:00:01,8.37,9.34,Structured Communications (London),TalkTalk
06/22/20,10:00:00,4.06,2.65,Mauritius Telecom Ltd,TalkTalk
06/22/20,11:00:00,5.19,3.6,Structured Communications (London),TalkTalk
06/22/20,12:00:00,10.56,7.3,Mauritius Telecom Ltd,TalkTalk
06/22/20,13:00:00,10.33,3.5,GTT.net (London) [1.77,TalkTalk
06/22/20,14:00:01,13.24,9.39,Mauritius Telecom Ltd,TalkTalk
06/22/20,15:00:00,5.99,9.25,Mauritius Telecom Ltd,TalkTalk
06/22/20,16:00:01,15.32,7.6,GTT.net (London) [1.77,TalkTalk
06/22/20,17:00:00,14.14,8.21,GTT.net (London) [1.77,TalkTalk
06/22/20,18:00:00,12.87,7.96,GTT.net (London) [1.77,TalkTalk
06/22/20,19:00:00,8.76,5.64,Mauritius Telecom Ltd,TalkTalk
06/22/20,20:00:00,14.51,6.73,GTT.net (London) [1.77,TalkTalk
06/22/20,21:00:00,20.67,8.28,GTT.net (London) [1.77,TalkTalk
06/23/20,01:00:00,8.42,5.52,Burstfire Networks Ltd,Three
06/23/20,02:00:01,8.18,4.26,Burstfire Networks Ltd,Three
06/23/20,03:00:01,12.75,5.26,Structured Communications (London),Three
06/23/20,08:00:00,6.58,3.68,Structured Communications (London),Three
06/23/20,09:00:00,1.54,4.33,Structured Communications (London),Three
06/23/20,10:00:04,1.29,4.58,GTT.net (London) [2.56,Three
06/23/20,11:00:00,0.65,0.83,Vox Telecom (London),Three
06/23/20,12:00:00,15.41,8.62,Structured Communications (London),TalkTalk
06/23/20,13:00:01,8.79,7.95,Structured Communications (London),TalkTalk
06/23/20,14:00:01,13.31,8.34,Burstfire Networks Ltd,TalkTalk
06/23/20,15:00:00,16.77,9.11,Mauritius Telecom Ltd,TalkTalk
06/23/20,16:00:00,8.13,9.2,Structured Communications (London),TalkTalk
06/23/20,17:00:00,14.49,9.55,Vodafone UK (London),TalkTalk
